STATUSCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
OK	0cb222103aa19cb1621cfd9a7464596c	5	7478464	8	959	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 21:09:46.382196115 +0100	2020-11-22 21:09:46.470196962 +0100	2020-11-22 21:09:46.470196962 +0100	./tmp/scan_dir_files.1.10720.tmp
OK	1f5fe86757b1d9d4a6b2961df450382c	157	7478936	8	386	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 15:57:23.955840064 +0100	2020-11-22 15:54:34.009050797 +0100	2020-11-22 15:54:34.025051964 +0100	./conf/letters_valid.conf
OK	45ba99708482af004148ac09740da303	196	7480651	16	6857	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 10:30:58.626010841 +0100	2020-11-22 09:47:30.292484557 +0100	2020-11-22 09:47:30.332484572 +0100	./bat/scan_dir_files.sh
OK	6434629785c3b816409494e0f44b1df5	5	7483821	8	162	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 19:29:34.563398236 +0100	2019-09-16 08:37:54.076392051 +0200	2020-11-10 23:37:16.226891141 +0100	./bat/scan_pictures_metadata.sh
OK	692062bd3f30cb02ae38e7c9a87b2cca	1	7477806	8	139	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 21:09:46.378196077 +0100	2020-11-22 21:09:46.378196077 +0100	2020-11-22 21:09:46.378196077 +0100	./report/scan_dir_files.Mr-Hyde.20201122.210946.csv
OK	746786f1ac72c1a563ac81226bd6cdc0	1239	7479803	816	415046	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 19:29:34.143396880 +0100	2020-11-22 16:28:07.400206385 +0100	2020-11-22 16:28:07.400206385 +0100	./tmp/fix_report.3.5493.tmp
OK			7486603	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-22 09:42:55.056376190 +0100	2020-05-09 19:15:51.129676463 +0200	2020-05-09 19:15:51.129676463 +0200	./conf/fix_report.env
OK			7486608	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-22 09:42:11.416359009 +0100	2020-05-09 19:15:09.985282993 +0200	2020-05-09 19:15:09.985282993 +0200	./conf/scan_dir_files.env
OK			7528559	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 19:29:34.479397965 +0100	2020-11-22 16:29:43.488304991 +0100	2020-11-22 16:29:43.488304991 +0100	./bat
OK			7528560	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 21:09:15.645898337 +0100	2020-11-22 21:09:46.354195845 +0100	2020-11-22 21:09:46.354195845 +0100	./log
OK			7528561	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 19:31:09.283669099 +0100	2020-11-22 21:09:46.382196115 +0100	2020-11-22 21:09:46.382196115 +0100	./tmp
OK			7528564	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 21:09:15.645898337 +0100	2020-11-22 21:09:46.378196077 +0100	2020-11-22 21:09:46.378196077 +0100	./report
OK			7536827	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 09:41:29.348342446 +0100	2020-05-09 19:13:43.072454580 +0200	2020-05-09 19:13:43.072454580 +0200	.
OK			7561263	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 15:55:07.683993901 +0100	2020-11-22 15:54:34.025051964 +0100	2020-11-22 15:54:34.025051964 +0100	./conf
OK			7585995	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 09:42:55.056376190 +0100	2020-11-15 20:59:18.688028997 +0100	2020-11-15 20:59:18.688028997 +0100	./util
OK	8bf2caf9212d07f30882d4a2140be87c	50	7494818	8	977	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 09:42:11.492359039 +0100	2020-11-15 20:59:18.648029457 +0100	2020-11-15 20:59:18.688028997 +0100	./util/analyze_file.sh
OK	8f973977a9827e8a07aea754cbae626d	9	7494849	8	236	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 09:42:11.424359012 +0100	2020-05-08 14:17:27.382889293 +0200	2020-05-09 19:14:33.000929989 +0200	./conf/common.env
OK	8f9ef9242467d5973b487d86304aac56	16	7471503	8	656	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 21:09:46.354195845 +0100	2020-11-22 21:09:46.382196115 +0100	2020-11-22 21:09:46.382196115 +0100	./log/scan_dir_files.Mr-Hyde.20201122.210946.log
OK	8fe08111fd8edb0a2fdf803c251e3826	230	7478254	24	8588	-rwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-22 16:29:44.944367373 +0100	2020-11-22 16:29:43.480304649 +0100	2020-11-22 16:29:43.488304991 +0100	./bat/fix_report.sh
OK	d41d8cd98f00b204e9800998ecf8427e	0	7478465	0	0	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 21:09:46.382196115 +0100	2020-11-22 21:09:46.382196115 +0100	2020-11-22 21:09:46.382196115 +0100	./tmp/scan_dir_files.2.10720.tmp
OK	d41d8cd98f00b204e9800998ecf8427e	0	7485244	0	0	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 19:30:55.603634063 +0100	2020-11-22 19:30:55.607634074 +0100	2020-11-22 19:30:55.607634074 +0100	./tmp/fix_report.3.9813.tmp
