ERRCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
			7486603	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-10 23:37:18.666905332 +0100	2020-05-09 19:15:51.129676463 +0200	2020-05-09 19:15:51.129676463 +0200	./conf/fix_report.env
			7486608	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-10 23:37:18.666905332 +0100	2020-05-09 19:15:09.985282993 +0200	2020-05-09 19:15:09.985282993 +0200	./conf/scan_dir_files.env
			7528559	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 23:08:00.610926553 +0100	2020-11-11 23:05:20.077026163 +0100	2020-11-11 23:05:20.077026163 +0100	./bat
			7528560	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 22:46:59.642042999 +0100	2020-11-11 23:08:05.350976501 +0100	2020-11-11 23:08:05.350976501 +0100	./log
			7528561	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 22:46:59.646043016 +0100	2020-11-11 23:08:05.366976668 +0100	2020-11-11 23:08:05.366976668 +0100	./tmp
			7528564	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 23:07:57.038888704 +0100	2020-11-11 23:08:05.362976627 +0100	2020-11-11 23:08:05.362976627 +0100	./report
			7536827	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-10 23:37:03.410816633 +0100	2020-05-09 19:13:43.072454580 +0200	2020-05-09 19:13:43.072454580 +0200	.
			7561263	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 08:58:51.592823916 +0100	2020-11-11 01:07:04.775991238 +0100	2020-11-11 01:07:04.775991238 +0100	./conf
			7585995	8	4096	drwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 09:18:38.122513358 +0100	2020-11-11 09:06:05.816947272 +0100	2020-11-11 09:06:05.816947272 +0100	./util
	8a7cd2866b03831495936227b7a07ec8	45	7482929	24	9999	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:11:23.488748784 +0100	2020-11-11 22:11:23.484748814 +0100	2020-11-11 22:11:23.484748814 +0100	./tmp/scan_dir_files.1.24758.tmp
	8a7cd2866b03831495936227b7a07ec8	45	7482930	24	9999	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:11:23.484748814 +0100	2020-11-11 22:11:23.480748845 +0100	2020-11-11 22:11:23.480748845 +0100	./tmp/scan_dir_files.2.24758.tmp
	8f973977a9827e8a07aea754cbae626d	9	7494849	8	236	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-10 23:38:28.131309892 +0100	2020-05-08 14:17:27.382889293 +0200	2020-05-09 19:14:33.000929989 +0200	./conf/common.env
	95d3fb87b1a33786d8f3c1bc9e88e170	189	7486584	16	6713	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 23:02:32.548603434 +0100	2020-11-11 23:02:21.476582491 +0100	2020-11-11 23:02:21.500582537 +0100	./bat/scan_dir_files.sh
	971c1a45e13cdb0994150245884bf823	23	7481355	16	4815	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 20:05:50.945395381 +0100	2020-11-11 20:05:50.941395371 +0100	2020-11-11 20:05:50.941395371 +0100	./tmp/scan_dir_files.1.15214.tmp
	971c1a45e13cdb0994150245884bf823	23	7481367	16	4815	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 20:07:12.585605977 +0100	2020-11-11 20:05:50.941395371 +0100	2020-11-11 20:05:50.941395371 +0100	./tmp/scan_dir_files.2.15214.tmp
	ab6e73cc2761cf22d070b5f157fe03b0	36	7482753	16	7911	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 21:50:09.231203181 +0100	2020-11-11 21:50:09.227203163 +0100	2020-11-11 21:50:09.227203163 +0100	./tmp/scan_dir_files.1.19901.tmp
	ab6e73cc2761cf22d070b5f157fe03b0	36	7482754	16	7911	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:05:36.652411234 +0100	2020-11-11 21:50:09.227203163 +0100	2020-11-11 21:50:09.227203163 +0100	./tmp/scan_dir_files.2.19901.tmp
	b55352781dd5d3eade4e3c13fdf85f54	47	7479541	24	10334	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:26:38.749037282 +0100	2020-11-11 22:26:38.745037289 +0100	2020-11-11 22:26:38.745037289 +0100	./tmp/scan_dir_files.1.8862.tmp
	b55352781dd5d3eade4e3c13fdf85f54	47	7479558	24	10334	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:26:38.745037289 +0100	2020-11-11 22:26:38.741037297 +0100	2020-11-11 22:26:38.741037297 +0100	./tmp/scan_dir_files.2.8862.tmp
	c67234adf1dda11aa3c5b0f1f9186b66	28	7482376	16	5997	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 21:44:06.493583046 +0100	2020-11-11 21:44:06.489583028 +0100	2020-11-11 21:44:06.489583028 +0100	./tmp/scan_dir_files.1.17947.tmp
	c67234adf1dda11aa3c5b0f1f9186b66	28	7482380	16	5997	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 21:44:06.489583028 +0100	2020-11-11 21:44:06.485583010 +0100	2020-11-11 21:44:06.485583010 +0100	./tmp/scan_dir_files.2.17947.tmp
	c75c901059772f84b3c9101603df5d01	57	7483244	32	12751	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:31:59.985693408 +0100	2020-11-11 22:31:59.981693336 +0100	2020-11-11 22:31:59.981693336 +0100	./tmp/scan_dir_files.1.13273.tmp
	c75c901059772f84b3c9101603df5d01	57	7483247	32	12751	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:40:02.535595832 +0100	2020-11-11 22:31:59.981693336 +0100	2020-11-11 22:31:59.981693336 +0100	./tmp/scan_dir_files.2.13273.tmp
	cf8e97b4b9ad84e46c98bad726a3c436	64	7481080	32	14471	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:46:22.701880287 +0100	2020-11-11 22:41:39.620308750 +0100	2020-11-11 22:41:39.620308750 +0100	./tmp/scan_dir_files.1.19108.tmp
	cf8e97b4b9ad84e46c98bad726a3c436	64	7481136	32	14471	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:41:39.620308750 +0100	2020-11-11 22:41:39.616308722 +0100	2020-11-11 22:41:39.616308722 +0100	./tmp/scan_dir_files.2.19108.tmp
	d2b30a74ea9a2c7705eca97419928c5f	27	7481935	16	5773	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 20:07:12.833606622 +0100	2020-11-11 20:07:12.829606611 +0100	2020-11-11 20:07:12.829606611 +0100	./tmp/scan_dir_files.1.15671.tmp
	d2b30a74ea9a2c7705eca97419928c5f	27	7481965	16	5773	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 20:08:04.825742199 +0100	2020-11-11 20:07:12.829606611 +0100	2020-11-11 20:07:12.829606611 +0100	./tmp/scan_dir_files.2.15671.tmp
	d41d8cd98f00b204e9800998ecf8427e	0	7478116	0	0	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 23:08:05.366976668 +0100	2020-11-11 23:08:05.366976668 +0100	2020-11-11 23:08:05.366976668 +0100	./tmp/scan_dir_files.2.22708.tmp
	d92e32c4930ecc09365924723072e11c	219	7471960	16	7813	-rwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-11 23:06:02.013564992 +0100	2020-11-11 23:05:20.025025474 +0100	2020-11-11 23:05:20.077026163 +0100	./bat/fix_report.sh
	d96fec29e13eb62e96d6c6c1b8062714	50	7480460	8	960	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-11 09:18:38.618522046 +0100	2020-11-11 09:06:05.788946476 +0100	2020-11-11 09:06:05.816947272 +0100	./util/analyze_file.sh
	effbad850cc5d5e0687fc0a6828fecf7	32	7482058	16	6955	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 21:50:08.871201573 +0100	2020-11-11 21:49:51.627124556 +0100	2020-11-11 21:49:51.627124556 +0100	./tmp/scan_dir_files.1.19363.tmp
	effbad850cc5d5e0687fc0a6828fecf7	32	7482739	16	6955	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 21:49:51.627124556 +0100	2020-11-11 21:49:51.623124537 +0100	2020-11-11 21:49:51.623124537 +0100	./tmp/scan_dir_files.2.19363.tmp
