STATUSCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
OK	1a2b98ab9a032bbd7eb462ac1573515f	22	7485183	8	994	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 15:53:55.827229954 +0100	2020-11-22 15:53:55.903231236 +0100	2020-11-22 15:53:55.903231236 +0100	./log/fix_report.Mr-Hyde.20201122.155355.log
OK	1f5fe86757b1d9d4a6b2961df450382c	157	7478936	8	386	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 15:57:23.955840064 +0100	2020-11-22 15:54:34.009050797 +0100	2020-11-22 15:54:34.025051964 +0100	./conf/letters_valid.conf
OK	2c4cb8e714d5433dc734841647c2eae6	30	7471538	8	1391	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-13 15:49:57.980920072 +0100	2020-11-13 23:28:32.802111871 +0100	2020-11-13 23:28:32.802111871 +0100	./log/fix_report.Mr-Hyde.20201113.154957.log
OK	3e47f5a275063a76455d850ff27071eb	32	7471930	8	1496	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 16:00:17.135897211 +0100	2020-11-22 16:09:57.133042623 +0100	2020-11-22 16:09:57.133042623 +0100	./log/fix_report.Mr-Hyde.20201122.160017.log
OK	45ba99708482af004148ac09740da303	196	7480651	16	6857	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-22 10:30:58.626010841 +0100	2020-11-22 09:47:30.292484557 +0100	2020-11-22 09:47:30.332484572 +0100	./bat/scan_dir_files.sh
OK	4e4b3030f11f92d445bced10a619bdbb	23	7472031	8	1034	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 15:53:19.028176839 +0100	2020-11-22 15:53:19.108170721 +0100	2020-11-22 15:53:19.108170721 +0100	./log/fix_report.Mr-Hyde.20201122.155319.log
OK	4fca2d458db64d7f0765636b367c5c1c	32	7479685	8	1496	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 16:19:18.039160895 +0100	2020-11-22 16:28:07.608215208 +0100	2020-11-22 16:28:07.608215208 +0100	./log/fix_report.Mr-Hyde.20201122.161918.log
OK	59ca4acae63831ef7d37a83fd17aa303	32	7480809	8	1501	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 13:53:54.719056758 +0100	2020-11-22 13:53:54.823058366 +0100	2020-11-22 13:53:54.823058366 +0100	./log/fix_report.Mr-Hyde.20201122.135354.log
OK	5e0df1bd9884ae5cc4eb511aa176a2ce	32	7481267	8	1501	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 13:55:15.205039563 +0100	2020-11-22 13:55:15.313043116 +0100	2020-11-22 13:55:15.313043116 +0100	./log/fix_report.Mr-Hyde.20201122.135515.log
OK	60352351cfd755bffb3eb0d99a9ebf27	27	7477863	8	1223	-rw-r--r--	0	root	0	root	2020-11-22 09:43:06.692380772 +0100	2020-11-22 09:42:35.840368625 +0100	2020-11-22 09:42:35.840368625 +0100	./log/scan_dir_files.Mr-Hyde.20201122.094211.log
OK	6434629785c3b816409494e0f44b1df5	5	7483821	8	162	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-13 13:56:55.197696853 +0100	2019-09-16 08:37:54.076392051 +0200	2020-11-10 23:37:16.226891141 +0100	./bat/scan_pictures_metadata.sh
OK	650aff47c3f81c7f65cb2ded4063c638	27	7481475	8	1243	-rw-r--r--	0	root	0	root	2020-11-22 14:16:12.261139915 +0100	2020-11-22 14:16:12.301140359 +0100	2020-11-22 14:16:12.301140359 +0100	./log/scan_dir_files.Mr-Hyde.20201122.141612.log
OK	692062bd3f30cb02ae38e7c9a87b2cca	1	7477806	8	139	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 19:29:34.067396635 +0100	2020-11-22 19:29:34.067396635 +0100	2020-11-22 19:29:34.067396635 +0100	./report/scan_dir_files.Mr-Hyde.20201122.192934.csv
OK	6de749406e4a5b911697d5b0616cc491	16	7477543	8	654	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 19:29:34.055396595 +0100	2020-11-22 19:29:34.071396647 +0100	2020-11-22 19:29:34.071396647 +0100	./log/scan_dir_files.Mr-Hyde.20201122.192934.log
OK	74497ffc95b30a922d471b222a7b86ac	28	7479699	8	1756	-rw-r--r--	0	root	0	root	2020-11-12 22:06:44.812933659 +0100	2020-11-12 22:04:30.324466545 +0100	2020-11-12 22:04:30.324466545 +0100	./log/scan_dir_files.Mr-Hyde.20201111.234650.log
OK	746786f1ac72c1a563ac81226bd6cdc0	1239	7479803	816	415046	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-22 16:28:07.400206385 +0100	2020-11-22 16:28:07.400206385 +0100	2020-11-22 16:28:07.400206385 +0100	./tmp/fix_report.3.5493.tmp
