STATUSCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
OK	0c53c6608a32d69d49ea65753844c0e0	49	1310958	8	983	-rwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:30:09.848715649 +0200	2021-03-08 00:23:52.612292123 +0100	2021-03-08 00:23:52.640292293 +0100	./util/analyze_file.sh
OK	115454a83e9ae538dd5bcbaad8d606a4	16039	1312327	8304	4249205	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.252764320 +0200	2021-09-18 00:42:45.133207228 +0200	2021-09-18 00:42:45.133207228 +0200	./report/scan_dir_files.Mr-Hyde.20210918.003904.csv
OK			1310893	0	10	lrwxrwxrwx	1000	zidmann	1000	zidmann	2022-03-28 15:29:19.115450235 +0200	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/fix_report.env
OK			1310898	0	10	lrwxrwxrwx	1000	zidmann	1000	zidmann	2022-03-28 15:29:19.115450235 +0200	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/scan_dir_files.env
OK			1318951	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:29:14.421638308 +0200	2021-03-08 01:27:26.363812329 +0100	2021-03-08 01:27:26.363812329 +0100	.
OK			1318955	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:29:19.151480625 +0200	2021-04-01 23:51:49.867602256 +0200	2021-04-01 23:51:49.867602256 +0200	./bat
OK			1318957	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:29:19.115450235 +0200	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf
OK			1318959	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:29:19.087426599 +0200	2021-03-08 00:23:52.640292293 +0100	2021-03-08 00:23:52.640292293 +0100	./util
OK			1327168	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:30:09.860717111 +0200	2022-03-28 15:30:31.142210634 +0200	2022-03-28 15:30:31.142210634 +0200	./report
OK			1327169	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.700817911 +0200	2022-03-28 15:30:31.142210634 +0200	2022-03-28 15:30:31.142210634 +0200	./log
OK			1327179	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.664813605 +0200	2022-03-28 15:30:31.142210634 +0200	2022-03-28 15:30:31.142210634 +0200	./tmp
OK	1335b41f5858357bbface9440e400235	16	1312478	8	807	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:31.142210634 +0200	2022-03-28 15:30:31.142210634 +0200	2022-03-28 15:30:31.142210634 +0200	./log/scan_dir_files.Mr-Hyde.20220328.153031.log
OK	1bf8366d68a273791aeb2e806e2783fa	27	1312474	8	1404	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.708818868 +0200	2022-03-28 15:30:10.896841356 +0200	2022-03-28 15:30:10.896841356 +0200	./log/scan_dir_files.Mr-Hyde.20220328.153009.log
OK	1f5fe86757b1d9d4a6b2961df450382c	157	1310897	8	386	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.620808341 +0200	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/letters_valid.conf
OK	27cfddb23852c37f730b0b3d7fda2dca	23	1312475	16	4788	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:09.868718086 +0200	2022-03-28 15:30:10.892840878 +0200	2022-03-28 15:30:10.892840878 +0200	./report/scan_dir_files.Mr-Hyde.20220328.153009.csv
OK	58c74601c1b2f74f384e5e0f1d9e07b8	27	1312326	8	1448	-rw-rw-r--	1000	zidmann	1000	zidmann	2022-03-28 15:30:10.776827002 +0200	2021-09-18 00:42:45.197207737 +0200	2021-09-18 00:42:45.197207737 +0200	./log/scan_dir_files.Mr-Hyde.20210918.003904.log
